match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
1473440,1,Mumbai Indians,Chennai Super Kings,7,6,SA Yadav,Noor Ahmad,Tilak Varma,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,7,7,SA Yadav,Noor Ahmad,Tilak Varma,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,8,1,Tilak Varma,RA Jadeja,SA Yadav,6,0,6,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,8,2,Tilak Varma,RA Jadeja,SA Yadav,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,8,3,Tilak Varma,RA Jadeja,SA Yadav,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,8,4,Tilak Varma,RA Jadeja,SA Yadav,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,8,5,Tilak Varma,RA Jadeja,SA Yadav,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,8,6,SA Yadav,RA Jadeja,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,9,1,SA Yadav,R Ashwin,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,9,2,Tilak Varma,R Ashwin,SA Yadav,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,9,3,SA Yadav,R Ashwin,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,9,4,Tilak Varma,R Ashwin,SA Yadav,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,9,5,SA Yadav,R Ashwin,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,9,6,Tilak Varma,R Ashwin,SA Yadav,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,10,1,Tilak Varma,Noor Ahmad,SA Yadav,0,4,4,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,10,2,Tilak Varma,Noor Ahmad,SA Yadav,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,10,3,SA Yadav,Noor Ahmad,Tilak Varma,0,0,0,,1,SA Yadav,stumped,MS Dhoni
1473440,1,Mumbai Indians,Chennai Super Kings,10,4,R Minz,Noor Ahmad,Tilak Varma,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,10,5,R Minz,Noor Ahmad,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,10,6,Tilak Varma,Noor Ahmad,R Minz,0,1,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,10,7,Tilak Varma,Noor Ahmad,R Minz,2,0,2,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,11,1,R Minz,R Ashwin,Tilak Varma,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,11,2,R Minz,R Ashwin,Tilak Varma,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,11,3,R Minz,R Ashwin,Tilak Varma,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,11,4,R Minz,R Ashwin,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,11,5,Tilak Varma,R Ashwin,R Minz,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,11,6,Tilak Varma,R Ashwin,R Minz,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,12,1,R Minz,Noor Ahmad,Tilak Varma,0,1,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,12,2,R Minz,Noor Ahmad,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,12,3,Tilak Varma,Noor Ahmad,R Minz,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,12,4,R Minz,Noor Ahmad,Tilak Varma,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,12,5,R Minz,Noor Ahmad,Tilak Varma,0,0,0,,1,R Minz,caught,RA Jadeja
1473440,1,Mumbai Indians,Chennai Super Kings,12,6,Naman Dhir,Noor Ahmad,Tilak Varma,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,12,7,Tilak Varma,Noor Ahmad,Naman Dhir,0,0,0,,1,Tilak Varma,lbw,
1473440,1,Mumbai Indians,Chennai Super Kings,13,1,Naman Dhir,RA Jadeja,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,13,2,MJ Santner,RA Jadeja,Naman Dhir,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,13,3,MJ Santner,RA Jadeja,Naman Dhir,0,0,0,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,13,4,MJ Santner,RA Jadeja,Naman Dhir,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,13,5,Naman Dhir,RA Jadeja,MJ Santner,1,0,1,,0,,,
1473440,1,Mumbai Indians,Chennai Super Kings,13,6,MJ Santner,RA Jadeja,Naman Dhir,1,0,1,,0,,,
